env,label,path,split
location_100,0,location_100/bird/585a6594-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/588a6614-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/58cfcc75-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58f8d040-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/58809351-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58fbeb45-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/593418b8-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/58af74f5-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/58c97c25-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58eacb0e-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/59167b3b-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,0,location_100/bird/58df6797-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/588c12c0-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/5902387e-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58e72552-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,0,location_100/bird/590a0fa9-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/58d2ea3f-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/592abdbe-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/59087f23-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/590b9ea0-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/590234ec-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58c4d711-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/5896079b-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58f105c3-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58678cbf-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/58f108ac-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58823d16-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,0,location_100/bird/58857ae6-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/58fbedc6-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,0,location_100/bird/586ade25-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/58b2ee6c-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,0,location_100/bird/594844d4-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/591b2493-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/586e2e08-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/591b25ad-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/5858c179-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/585a6482-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/589cb289-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/5892b4b7-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/592abe8e-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58f2954e-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58ff0e60-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/58911012-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,0,location_100/bird/593a4dff-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/5888bee9-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,0,location_100/bird/58f73fe8-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,0,location_100/bird/58e59784-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/586c8a27-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/588095af-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,0,location_100/bird/58d2eb9b-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,0,location_100/bird/58f8cd94-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,0,location_100/bird/59180b3c-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,0,location_100/bird/58d92f4b-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,1,location_100/bobcat/58e93a2e-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,1,location_100/bobcat/58c7efdf-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,1,location_100/bobcat/5878297c-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,1,location_100/bobcat/58a6e63a-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,1,location_100/bobcat/590881aa-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,1,location_100/bobcat/58945f3c-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,1,location_100/bobcat/589b0163-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,1,location_100/bobcat/58d47eb4-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,1,location_100/bobcat/58ff0c96-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,1,location_100/bobcat/58a1cb0c-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,1,location_100/bobcat/591b23b6-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,1,location_100/bobcat/58d47d6e-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,1,location_100/bobcat/590a10d4-23d2-11e8-a6a3-ec086b02610b.jpg,val
location_100,1,location_100/bobcat/5897b0f3-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,1,location_100/bobcat/591cb2df-23d2-11e8-a6a3-ec086b02610b.jpg,test
location_100,1,location_100/bobcat/58b9d920-23d2-11e8-a6a3-ec086b02610b.jpg,train
location_100,1,location_100/bobcat/58a8a3be-23d2-11e8-a6a3-ec086b02610b.jpg,train
